id,slug,name,category,status,city,area,rating,reviews_count,authority_score,website,google_maps_url
google-ChIJ5S-HoGf1lxIRHLaCdbBT6Eo,es-forn-des-casino-1661,Es Forn des Casino 1661,bar,published,,Banyalbufar,4.4,517,147.2866,,https://maps.google.com/?cid=5397656170754389532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJO_mT61ySlxIRG6_3Mlmh0iw,1962-cafe-gastrobar,1962 Café & Gastrobar,bar,published,Palma,Palma,4.4,409,155.2557,https://www.hotelsaratoga.com/restaurantes-y-bares-palma-centro/gastrobar?utm_source=google&utm_medium=organic&utm_campaign=GBPSecondary&utm_content=Gastrobar1962,https://maps.google.com/?cid=3229821287257321243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJcQFMhuO7lxIRp2VAr98lyMU,hollister-bash-saloon,Hollister Bash Saloon,bar,published,,Llucmajor,4.4,820,161.2869,https://hollisterbash.com/?utm_source=GMB&utm_medium=organic&utm_campaign=MyBusiness,https://maps.google.com/?cid=14251682663462102439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ84EdCGiSlxIRDSxc6NnZ4Ns,cafe-lisboa,Cafe Lisboa,bar,published,Palma,Palma,4.4,844,161.5371,https://www.entraenmicarta.es/local/lpwbrfwmy7/4059,https://maps.google.com/?cid=15843903019018890253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJCQiq0FGSlxIRoUpob5TYDIo,cuco-cocina,Cuco cocina,bar,published,Palma,Palma,4.4,541,157.68,https://www.facebook.com/Cucococina,https://maps.google.com/?cid=9947563808990448289&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ_-kFeK6TlxIRRm1qlaqRqCw,sport-bar-las-mellas,SPORT BAR LAS MELLAS,bar,published,Palma,Palma,4.4,51,127.3201,,https://maps.google.com/?cid=3217982095593467206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJg9vB9lOTlxIR3FWLOsvzG5k,vermuteria-san-jaime,Vermutería San Jaime,bar,published,Palma,Palma,4.4,861,161.7101,https://vermuteriasanjaime.shop/,https://maps.google.com/?cid=11032679766360282588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJsys2CFCSlxIRktB1OZrOJ9M,bar-nicolas,Bar Nicolás,bar,published,Palma,Palma,4.4,989,162.9127,http://barnicolas.com/,https://maps.google.com/?cid=15215357027878817938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJQbSgU0OSlxIRvqryHpVWMCs,honky-tonk,HONKY TONK,bar,published,Palma,Palma,4.4,431,145.7097,,https://maps.google.com/?cid=3112082540982348478&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJYWMF7qaplxIR5Xv5oqPYX-A,5illes-eat-drink-avenida-principal,5illes EAT&DRINK - AVENIDA PRINCIPAL,bar,published,,Colonia de Sant Jordi,4.4,1066,163.5633,https://5illesmallorca.com/tapas-en-mallorca/,https://maps.google.com/?cid=16167879384608898021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
