category,name,rating,reviews_count,area,address,google_place_id,website,google_maps_url,possible_existing_slug,possible_existing_place_id
hotel,Aethos Mallorca,4.5,178,Peguera,"Carrer Mareselva, 2, 07160 Peguera, Illes Balears",ChIJbQN7YQAnmBIRtDYUqFDplM8,https://www.aethos.com/destinations/mallorca,https://maps.google.com/?cid=14957836795030812340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Aparthotel Marina Drach,4.2,178,Porto Cristo,"Carrer del Curricà, 16, 07680 Porto Cristo, Illes Balears",ChIJjc38PZpHlhIRbDDq4SIJEQA,http://www.aparthotelmarinadrach.com/,https://maps.google.com/?cid=4795120027840620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Petit Sant Miquel,4.8,175,S'Horta,"Carrer Isaac Albéniz, 4, 07669 Calonge, Illes Balears",ChIJVVXl4wlRlhIRYxghDJVDe5o,http://www.petitsantmiquel.com/,https://maps.google.com/?cid=11131565211408996451&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hostal Catalina Vera,4.6,175,Port d'Andratx,"Carrer d, C. de Isaac Peral, 63, 07157 Port d'Andratx, Illes Balears",ChIJ5az3kawmmBIRWPzLx052zL0,http://www.hostalcatalinavera.es/,https://maps.google.com/?cid=13676436249148914776&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Apartaments Niu D'Aus,4.4,175,Portopetro,"Carrer de s'Estel d'Argent, 13, 07691 Portopetro, Illes Balears",ChIJz4wOBi5RlhIRnggc1ZPDakk,https://www.niudaus.com/,https://maps.google.com/?cid=5290255752003061918&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Rural Sa Galera,4.6,168,Cas Concos,"Carretera, Km 6,3, 07208 Cas Concos, Illes Balears",ChIJL4ZB54pSlhIRV6mHvY0ijyk,http://www.hotelsagalera.com/,https://maps.google.com/?cid=2994650269390186839&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Can Aulí Luxury Retreat,4.7,167,Pollença,"Carrer de Mallorca, 40, 07460 Pollença, Illes Balears",ChIJQyKGyXvXlxIRtoTjjkkVs9w,https://canauliluxuryretreat.com/,https://maps.google.com/?cid=15903078114849424566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Agroturismo Can Cantó de Marina,4.7,166,Sa Ràpita,"carretera, Enfrente del Parking, Diseminado Sa Marina, 99, 07639 Ses Covetes, Illes Balears",ChIJqS45os6vlxIR3YqND26sLJ8,http://www.cantodemarina.com/,https://maps.google.com/?cid=11469731939713125085&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Finca Sa Tanca,4.9,164,Cala d'Or,"Av. de Calonge, Km 2, 8, 07660 Cala d'Or, Illes Balears",ChIJibjx9-ZQlhIRGtC6GWDvJJ4,https://www.finca-satanca.de/,https://maps.google.com/?cid=11395496153181769754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Pensión Bellavista,4.6,161,Port de Pollença,"Carrer de les Monges, 14, 07470 Port de Pollença, Illes Balears",ChIJLwywuCPVlxIRzbdiZgi-kTc,http://www.pensionbellavista.com/,https://maps.google.com/?cid=4004190486995843021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Son Mercadal,4.5,156,Porreres,"Camí de son Pau, s/n, 07260 Porreres, Illes Balears",ChIJDzUxa8izlxIRyUE3FgBPLGQ,http://www.son-mercadal.com/,https://maps.google.com/?cid=7218231164559376841&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
